id,type,name,dealNo,name_En,productSize,productSize_En,slug,ratingCount,ratingAverage,reviewsCount,shortDescription,shortDescription_En,description,description_En,categoryId,cateName,cateName_En,cateMetaTags,sku,rankDiscount,rootPrice,displayRootPrice,price,displayPrice,rankDiscountAmount,priceDiscountDisPlay,realPrice,oldPriceDisPlay,percentOfSavingDisPlay,currency,parentId,images,hasOptions,thumbnailImage,promotionLink,productNote,productImages,isParent,attributes,attributeValues,productOptionValues,productOptions,productVariations,displayOrder,isLove,metaTags,isRequiredProductOption,percentOfPriceDiscount,brandCode,url,urlDisplay,barcode,uomId,uomName,refPrice,refPriceDisplay,requiredQuantity,promotion,invAvailableQty,menuCategoryId,processingType,hasDefaultRelatedProducts,saleCount,freeshipCouponLabel,productSizes,comboGroups,productMenuIsDisable,productMenuDisableNote,calculatedPrice.price,calculatedPrice.oldPrice,calculatedPrice.rootPriceWithoutTax,calculatedPrice.rootPriceWithTax,calculatedPrice.vat,calculatedPrice.priceIncVat,productThumbnail.dir,productThumbnail.full,productThumbnail.medium,productThumbnail.thumbnail
2007,3,Combo Mua 1 Tặng 1 - Golden Day,,,,,combo-mua-1-tang-1-golden-day-2007,0,0.0,0,,,,,1094,Combo,,,testt,0.0,113000.0,"113,000₫",113000.0,"113,000₫",0.0,,0.0,,,,,[],False,,,,[],True,,[],[],[],[],0,False,,True,0,KATINAT,,Products/katinat/combo-mua-1-tang-1-golden-day-2007,,3,Ly,,,0,,,1094,0,False,0,,,,False,,113000.0,,104629.62962962964,113000.0,8,True,,,,
1992,3,Combo Ưu đãi nội bộ 2,,,,,combo-chi-chi-em-em--1992,0,0.0,0,Điều kiện áp dụng: Chỉ áp dụng với nhân viên nội bộ,,"<p><strong>Điều kiện &aacute;p dụng chi tiết:<br /></strong>+ Chỉ &aacute;p dụng đối với t&agrave;i khoản đ&atilde; được k&iacute;ch hoạt tr&ecirc;n ứng dụng<br />+ Chỉ &aacute;p dụng đối với t&agrave;i khoản đi k&egrave;m số điện thoại c&oacute; trong danh s&aacute;ch tham gia trải nghiệm<br />+ Coupon &aacute;p dụng cho h&igrave;nh thức Pick-up &amp; Delivery tại cửa h&agrave;ng<br />+ Coupon kh&ocirc;ng c&oacute; gi&aacute; trị quy đổi th&agrave;nh tiền mặt<br />+ Coupon kh&ocirc;ng &aacute;p dụng chung với c&aacute;c chương tr&igrave;nh ưu đ&atilde;i kh&aacute;c, ngoại trừ chương tr&igrave;nh &aacute;p dụng cho th&agrave;nh vi&ecirc;n mới trong hệ thống<br />+ Mỗi coupon chỉ c&oacute; gi&aacute; trị sử dụng 01 lần v&agrave; 01 ho&aacute; đơn<strong><br />&nbsp;</strong></p>",,1094,Combo,,,Combo041,0.0,110000.0,"110,000₫",110000.0,"110,000₫",0.0,,0.0,,,,,[],False,bfd8fe4be33835666c29-(2).jpg,,,[],True,,[],[],[],[],0,False,,True,0,KATINAT,,Products/katinat/combo-chi-chi-em-em--1992,,5,Set,,,0,,,1094,0,False,0,,,,False,,110000.0,,101851.85185185185,110000.0,8,True,bfd8fe4be33835666c29-(2).jpg,https://d1b9ugfoh8ldpi.cloudfront.net/full/bfd8fe4be33835666c29-(2).jpg,https://d1b9ugfoh8ldpi.cloudfront.net/medium/bfd8fe4be33835666c29-(2).jpg,https://d1b9ugfoh8ldpi.cloudfront.net/thumbnail/bfd8fe4be33835666c29-(2).jpg
1991,3,COMBO ƯU ĐÃI NỘI BỘ 01 ,,,,,combo-thuc-tinh--1991,0,0.0,0,Điều kiện áp dụng: Chỉ áp dụng  với nhân viên nội bộ,,,,1094,Combo,,,Combo040,0.0,109000.0,"109,000₫",109000.0,"109,000₫",0.0,,0.0,,,,,[],False,a499ed1c966f4031197e-(1).jpg,,,[],True,,[],[],[],[],0,False,,True,0,KATINAT,,Products/katinat/combo-thuc-tinh--1991,,5,Set,,,0,,,1094,0,False,0,,,,False,,109000.0,,100925.92592592593,109000.0,8,True,a499ed1c966f4031197e-(1).jpg,https://d1b9ugfoh8ldpi.cloudfront.net/full/a499ed1c966f4031197e-(1).jpg,https://d1b9ugfoh8ldpi.cloudfront.net/medium/a499ed1c966f4031197e-(1).jpg,https://d1b9ugfoh8ldpi.cloudfront.net/thumbnail/a499ed1c966f4031197e-(1).jpg
1974,3,COMBO ƯU ĐÃI,,,,,combo-uu-dai-1974,0,0.0,0,,,,,1094,Combo,,,COMBO ƯU ĐÃI,0.0,104000.0,"104,000₫",104000.0,"104,000₫",0.0,,0.0,,,,,[],False,,,,[],True,,[],[],[],[],0,False,,True,0,KATINAT,,Products/katinat/combo-uu-dai-1974,,,,,,0,,,1094,0,False,0,,,,False,,104000.0,,96296.29629629629,104000.0,8,True,,,,
1972,4,Bình giữ nhiệt ,,,,,binh-giu-nhiet--1972,0,0.0,0,,,,,1094,Combo,,,QUATANG1,0.0,289000.0,"289,000₫",289000.0,"289,000₫",0.0,,0.0,,,,,"[""322475239_732282011899377_1730030791522976320_n.jpg""]",False,322475239_732282011899377_1730030791522976320_n.jpg,,,"[{""dir"": ""322475239_732282011899377_1730030791522976320_n.jpg"", ""full"": ""https://d1b9ugfoh8ldpi.cloudfront.net/full/322475239_732282011899377_1730030791522976320_n.jpg"", ""medium"": ""https://d1b9ugfoh8ldpi.cloudfront.net/medium/322475239_732282011899377_1730030791522976320_n.jpg"", ""thumbnail"": ""https://d1b9ugfoh8ldpi.cloudfront.net/thumbnail/322475239_732282011899377_1730030791522976320_n.jpg""}]",False,,[],[],[],[],0,False,,False,0,KATINAT,,Products/katinat/binh-giu-nhiet--1972,,Ly,Ly,,,0,,,1094,0,False,0,,,,False,,289000.0,,267592.5925925926,289000.0,8,True,322475239_732282011899377_1730030791522976320_n.jpg,https://d1b9ugfoh8ldpi.cloudfront.net/full/322475239_732282011899377_1730030791522976320_n.jpg,https://d1b9ugfoh8ldpi.cloudfront.net/medium/322475239_732282011899377_1730030791522976320_n.jpg,https://d1b9ugfoh8ldpi.cloudfront.net/thumbnail/322475239_732282011899377_1730030791522976320_n.jpg
1946,3,Combo001 - Combo Vải & Oolong,,,,,combo-vai-oolong-1946,0,0.0,0,Combo Vải & Oolong,,<p>ettst</p>,,1094,Combo,,,Combo001,0.0,100000.0,"100,000₫",100000.0,"100,000₫",0.0,,0.0,,,,,[],False,,,,[],True,,[],[],[],[],0,False,,True,0,KATINAT,,Products/katinat/combo-vai-oolong-1946,,5,Set,,,0,,,1094,0,False,0,,,,False,,100000.0,,92592.5925925926,100000.0,8,True,,,,
1945,3,Combo Tháng 10,,,,,combo-thang-10-1945,0,0.0,0,,,,,1094,Combo,,,combot10,0.0,95000.0,"95,000₫",95000.0,"95,000₫",0.0,,0.0,,,,,[],False,,,,[],True,,[],[],[],[],0,False,,True,0,KATINAT,,Products/katinat/combo-thang-10-1945,,,,,,0,,,1094,0,False,0,,,,False,,95000.0,,87962.96296296296,95000.0,8,True,,,,
1926,3,COMBO 1 ,,,,,combo-1--1926,0,0.0,0,,,,,1094,Combo,,,COMBO1,0.0,80000.0,"80,000₫",80000.0,"80,000₫",0.0,,0.0,,,,,[],False,,,,[],True,,[],[],[],[],0,False,,True,0,KATINAT,,Products/katinat/combo-1--1926,,Ly,Ly,,,0,,,1094,0,False,0,,,,False,,80000.0,,74074.07407407407,80000.0,8,True,,,,
1853,4,Mê Phô Mai (S),,Me Pho Mai (S),,,me-pho-mai-s--1853,4,1.75,0,,,,,1102,Sản phẩm bên POS Lotus(news),,,HB00017,0.0,55000.0,"55,000₫",55000.0,"55,000₫",0.0,,0.0,,,,,[],False,MÊ-PHÔ-MAI_800x800.jpg,,,[],True,,[],[],[],[],20,False,,True,0,KATINAT,,Products/katinat/me-pho-mai-s--1853,,3,Ly,,,0,,,1102,0,False,3,,S,,False,,55000.0,,50925.92592592593,55000.0,8,True,MÊ-PHÔ-MAI_800x800.jpg,https://d1b9ugfoh8ldpi.cloudfront.net/full/M%C3%8A-PH%C3%94-MAI_800x800.jpg,https://d1b9ugfoh8ldpi.cloudfront.net/medium/M%C3%8A-PH%C3%94-MAI_800x800.jpg,https://d1b9ugfoh8ldpi.cloudfront.net/thumbnail/M%C3%8A-PH%C3%94-MAI_800x800.jpg
1851,4,Mê Dừa Non ,,Me Dua Non (S),,,me-dua-non-s--1851,3,2.1666667461395264,0,,,,,1102,Sản phẩm bên POS Lotus(news),,,HB00015,0.0,52920.0,"52,920₫",52920.0,"52,920₫",0.0,,0.0,,,,,[],False,MÊ-DỪA-NON_800x800.jpg,,,[],True,,[],[],[],[],10,False,,True,0,KATINAT,,Products/katinat/me-dua-non-s--1851,,3,Ly,,,0,,,1102,0,False,0,,S,,False,,49000.0,,49000.0,52920.0,8,False,MÊ-DỪA-NON_800x800.jpg,https://d1b9ugfoh8ldpi.cloudfront.net/full/M%C3%8A-D%E1%BB%AAA-NON_800x800.jpg,https://d1b9ugfoh8ldpi.cloudfront.net/medium/M%C3%8A-D%E1%BB%AAA-NON_800x800.jpg,https://d1b9ugfoh8ldpi.cloudfront.net/thumbnail/M%C3%8A-D%E1%BB%AAA-NON_800x800.jpg
